2018-06-02 20:54:07.295 UTC | INFO | main | org.springframework.test.context.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-06-02 20:54:07.305 UTC | INFO | main | org.springframework.test.context.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@24313fcc, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@7d20d0b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@77f1baf5, org.springframework.test.context.transaction.TransactionalTestExecutionListener@41a2befb, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6c40365c]
2018-06-02 20:54:07.355 UTC | INFO | pool-1-thread-2 | org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [META-INF/spring/dao-jpa-impl-spring-context.xml]
2018-06-02 20:54:07.475 UTC | INFO | pool-1-thread-2 | org.springframework.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@767852c8: startup date [Sat Jun 02 23:54:07 EEST 2018]; root of context hierarchy
2018-06-02 20:54:07.645 UTC | INFO | pool-1-thread-2 | org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'persistenceJPAConfig' of type [com.od.eisgroup.dao.jpa.impl.configuration.PersistenceJPAConfig$$EnhancerBySpringCGLIB$$107ba3cd] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-06-02 20:54:07.811 UTC | INFO | pool-1-thread-2 | org.springframework.jdbc.datasource.DriverManagerDataSource - Loaded JDBC driver: org.h2.Driver
2018-06-02 20:54:07.895 UTC | INFO | pool-1-thread-2 | org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Building JPA container EntityManagerFactory for persistence unit 'default'
2018-06-02 20:54:07.915 UTC | INFO | pool-1-thread-2 | org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2018-06-02 20:54:07.975 UTC | INFO | pool-1-thread-2 | org.hibernate.Version - HHH000412: Hibernate Core {5.2.16.Final}
2018-06-02 20:54:07.975 UTC | INFO | pool-1-thread-2 | org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2018-06-02 20:54:08.005 UTC | INFO | pool-1-thread-2 | org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2018-06-02 20:54:08.259 UTC | INFO | pool-1-thread-2 | org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2018-06-02 20:54:08.996 UTC | INFO | pool-1-thread-2 | org.hibernate.tool.schema.internal.SchemaCreatorImpl - HHH000476: Executing import script 'org.hibernate.tool.schema.internal.exec.ScriptSourceInputNonExistentImpl@1c6a4d91'
2018-06-02 20:54:09.006 UTC | INFO | pool-1-thread-2 | org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
